,date,username,content,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
0,2022-11-30 22:13:05+00:00,AgrilandIreland,fodder support scheme payments commence 71000 httpstcoiq6g9pkgth,9,81,8.11111111111111,1,0,0,0,0.0
1,2022-11-30 21:38:14+00:00,AgrilandIreland,icsa work food regulator still misgivings httpstcornhrkx0ytc,11,85,6.818181818181818,4,0,0,1,0.0
2,2022-11-30 21:25:16+00:00,AgrilandIreland,food vision beef sheep group final report published httpstcojuyysvea7m httpstco5to2nku7bg,12,105,7.833333333333333,1,0,0,0,1.0
3,2022-11-30 20:52:35+00:00,AgrilandIreland,pallaskenry herd 17 tb reactors latest tests httpstcor6twoflit2,11,101,8.272727272727273,1,0,1,1,0.9
4,2022-11-30 20:20:10+00:00,AgrilandIreland,wind farms contributed 4m communities 2021 httpstcoepfkr5hpkc,11,84,6.7272727272727275,3,0,1,0,0.0
5,2022-11-30 19:41:20+00:00,AgrilandIreland,plans zealands first zero emissions httpstcomhi8ul1fm5,12,105,7.833333333333333,1,0,0,0,0.3333333333333333
6,2022-11-30 19:11:22+00:00,AgrilandIreland,eu publishes proposal carbon farming httpstconimhfckmca,10,93,8.4,1,0,0,1,0.0
7,2022-11-30 18:45:22+00:00,AgrilandIreland,report suggests 1350cow payment cut suckler numbers httpstco2ggnx15vgt,10,85,7.6,1,0,0,0,0.0
8,2022-11-30 18:28:38+00:00,AgrilandIreland,big hearted steyr remains compact light httpstcohixbuvfekb,10,93,8.4,1,0,0,0,0.39999999999999997
9,2022-11-30 18:02:06+00:00,AgrilandIreland,domestic milk intake 6985 million litres october httpstcoakmlrekwyl,10,79,7.0,2,0,0,0,0.1
10,2022-11-30 17:35:38+00:00,AgrilandIreland,icsa work food regulator still misgivings httpstcoohqfgng83o,11,85,6.818181818181818,4,0,0,1,0.0
11,2022-11-30 17:17:01+00:00,AgrilandIreland,latest jcb loader smallest loadall yet httpstcobs0d71s80a,10,91,8.2,1,0,0,1,0.9
12,2022-11-30 16:59:35+00:00,AgrilandIreland,wind farms contributed 4m communities 2021 httpstcobkrbllul8n,11,84,6.7272727272727275,3,0,1,0,0.0
13,2022-11-30 16:41:10+00:00,AgrilandIreland,food vision beef sheep group final report published httpstcorehzmjxvnq,12,105,7.833333333333333,1,0,0,0,1.0
14,2022-11-30 16:26:12+00:00,AgrilandIreland,carbon footprint challenges livestock producers httpstcoog1rzbxics,9,101,10.333333333333334,1,0,0,0,0.0
15,2022-11-30 16:12:48+00:00,AgrilandIreland,ifa land designation team calls farmer funding httpstcoiehto0apik,10,79,7.0,2,0,0,1,0.0
16,2022-11-30 16:03:51+00:00,AgrilandIreland,looking perfect christmas gift httpstcozwjf56rmnx httpstcoap6bxj6d2l,7,92,9.222222222222221,2,0,0,0,1.0
17,2022-11-30 15:55:59+00:00,AgrilandIreland,fbd young farmer revealed httpstcotbdfjyzwnv,11,92,7.454545454545454,2,0,1,1,0.4
18,2022-11-30 15:40:46+00:00,AgrilandIreland,interest offering vet courses registered across provinces httpstcoomzhzlrjyf,11,92,7.454545454545454,2,0,0,0,0.0
